iter,elapsed_hours,progress_pct,entropy_coef,heuristic_bc_coef,best_days_mean,succ,day_ge5,day_ge6,days_mean,days_p50,days_p90,return_mean,stockout_mean,approx_kl,clip_frac,value_mse,heur_match
2140,0.4732,3.38,0.014037,0.193583,5.1233,0.000000,0.800000,0.393333,5.1233,5.0000,6.0000,-5.5382,26944.3831,0.058837,0.478760,0.015338,0.329346
2160,0.4785,3.42,0.014027,0.193511,5.2000,0.000000,0.820000,0.433333,5.2000,5.0000,6.0000,-5.4537,31004.1969,0.051218,0.473633,0.007955,0.329834
2180,0.4838,3.46,0.014016,0.193439,5.0800,0.000000,0.776667,0.393333,5.0800,5.0000,6.0000,-5.7769,29187.0965,0.040533,0.472656,0.007580,0.334473
2200,0.4890,3.49,0.014005,0.193368,5.0433,0.000000,0.763333,0.410000,5.0433,5.0000,6.0000,-5.7993,25624.8139,0.043819,0.485352,0.007080,0.313721
2220,0.4941,3.53,0.013995,0.193299,5.0700,0.000000,0.780000,0.410000,5.0700,5.0000,6.0000,-5.7411,26568.0850,0.043480,0.464355,0.008311,0.335205
2240,0.4993,3.57,0.013985,0.193228,5.1500,0.000000,0.806667,0.413333,5.1500,5.0000,6.0000,-5.5661,29435.0462,0.032531,0.452637,0.007077,0.328369
2260,0.5047,3.61,0.013974,0.193155,5.0800,0.000000,0.800000,0.393333,5.0800,5.0000,6.0000,-5.7354,27620.3632,0.055875,0.496338,0.008275,0.315186
2280,0.5103,3.64,0.013963,0.193080,5.1967,0.000000,0.833333,0.430000,5.1967,5.0000,6.0000,-5.3440,27685.5206,0.055664,0.455078,0.012604,0.308350
2300,0.5156,3.68,0.013952,0.193007,5.1067,0.000000,0.793333,0.413333,5.1067,5.0000,6.0000,-5.7200,29430.6488,0.045642,0.476563,0.006136,0.334717
2320,0.5210,3.72,0.013941,0.192933,5.0833,0.000000,0.776667,0.416667,5.0833,5.0000,6.0000,-5.7074,27385.4332,0.046492,0.453369,0.009456,0.332031
2340,0.5264,3.76,0.013931,0.192861,5.1933,0.000000,0.813333,0.450000,5.1933,5.0000,6.0000,-5.3634,28821.7757,0.050475,0.485596,0.010286,0.327881
2360,0.5318,3.80,0.013920,0.192787,5.1667,0.000000,0.813333,0.413333,5.1667,5.0000,6.0000,-5.4586,27908.1212,0.049685,0.474365,0.010594,0.313232
2380,0.5373,3.84,0.013909,0.192713,5.1433,0.000000,0.806667,0.423333,5.1433,5.0000,6.0000,-5.4694,26264.6519,0.043254,0.473145,0.009714,0.336182
2400,0.5426,3.88,0.013899,0.192641,5.0967,0.000000,0.793333,0.400000,5.0967,5.0000,6.0000,-5.6579,26915.8812,0.036749,0.453613,0.004617,0.335938
2420,0.5475,3.91,0.013889,0.192574,5.1600,0.000000,0.823333,0.410000,5.1600,5.0000,6.0000,-5.4426,26680.5635,0.033599,0.453857,0.006044,0.333740
2440,0.5525,3.95,0.013879,0.192507,5.1333,0.000000,0.813333,0.403333,5.1333,5.0000,6.0000,-5.5889,28477.8741,0.049380,0.489990,0.011247,0.330078
2460,0.5577,3.98,0.013868,0.192436,5.1067,0.000000,0.810000,0.400000,5.1067,5.0000,6.0000,-5.6716,28009.4783,0.045545,0.464844,0.016311,0.318359
2480,0.5629,4.02,0.013858,0.192365,5.1267,0.000000,0.786667,0.433333,5.1267,5.0000,6.0000,-5.6473,28976.2683,0.047566,0.471191,0.008996,0.338623
2500,0.5683,4.06,0.013847,0.192293,5.0833,0.000000,0.773333,0.416667,5.0833,5.0000,6.0000,-5.6436,25693.1019,0.039214,0.457031,0.005060,0.326904
2520,0.5738,4.10,0.013837,0.192218,5.1733,0.000000,0.806667,0.433333,5.1733,5.0000,6.0000,-5.3932,26389.4019,0.051611,0.474365,0.012367,0.318359
2540,0.5793,4.14,0.013826,0.192143,5.1200,0.000000,0.776667,0.413333,5.1200,5.0000,6.0000,-5.5443,26417.2349,0.045885,0.465332,0.008086,0.332764
2560,0.5847,4.18,0.013815,0.192069,5.1833,0.000000,0.810000,0.443333,5.1833,5.0000,6.0000,-5.4188,29010.0957,0.059133,0.474365,0.016647,0.331299
2580,0.5900,4.21,0.013804,0.191997,5.1267,0.000000,0.786667,0.426667,5.1267,5.0000,6.0000,-5.5777,27831.0467,0.046430,0.462402,0.016597,0.318848
2600,0.5955,4.25,0.013793,0.191923,5.0767,0.000000,0.780000,0.410000,5.0767,5.0000,6.0000,-5.6684,26018.0493,0.057063,0.459717,0.003073,0.329102
2620,0.6007,4.29,0.013783,0.191852,5.1467,0.000000,0.816667,0.420000,5.1467,5.0000,6.0000,-5.5153,27812.4584,0.040538,0.459717,0.007439,0.333984
2640,0.6060,4.33,0.013773,0.191781,5.1033,0.000000,0.776667,0.416667,5.1033,5.0000,6.0000,-5.7122,28629.2221,0.037196,0.448730,0.005743,0.337891
2660,0.6115,4.37,0.013762,0.191706,5.1400,0.000000,0.813333,0.406667,5.1400,5.0000,6.0000,-5.5638,27973.0809,0.046647,0.481445,0.011175,0.341553
2680,0.6171,4.41,0.013751,0.191630,5.1233,0.000000,0.813333,0.396667,5.1233,5.0000,6.0000,-5.5796,28094.9707,0.046157,0.460449,0.003229,0.336426
2700,0.6226,4.45,0.013740,0.191555,5.1600,0.000000,0.803333,0.420000,5.1600,5.0000,6.0000,-5.4537,27820.1926,0.063866,0.494873,0.012727,0.317139
2720,0.6279,4.49,0.013729,0.191483,5.1967,0.000000,0.836667,0.416667,5.1967,5.0000,6.0000,-5.3552,28076.2960,0.057542,0.492188,0.009463,0.327637
2740,0.6333,4.52,0.013718,0.191409,5.0333,0.000000,0.776667,0.380000,5.0333,5.0000,6.0000,-5.8361,26639.0234,0.054639,0.516602,0.015536,0.349854
2760,0.6388,4.56,0.013708,0.191335,5.0767,0.000000,0.800000,0.376667,5.0767,5.0000,6.0000,-5.7317,26921.8716,0.048222,0.472656,0.010271,0.336914
2780,0.6443,4.60,0.013697,0.191261,5.1700,0.000000,0.820000,0.416667,5.1700,5.0000,6.0000,-5.4358,28170.8655,0.058095,0.509766,0.008243,0.325195
2800,0.6498,4.64,0.013686,0.191185,5.1267,0.000000,0.810000,0.406667,5.1267,5.0000,6.0000,-5.6190,27975.4026,0.053944,0.495850,0.008409,0.333740
2820,0.6552,4.68,0.013675,0.191112,5.1500,0.000000,0.813333,0.420000,5.1500,5.0000,6.0000,-5.4450,25963.1951,0.050082,0.489502,0.004618,0.314941
2840,0.6605,4.72,0.013665,0.191040,5.1100,0.000000,0.806667,0.396667,5.1100,5.0000,6.0000,-5.6654,28293.7964,0.058176,0.509521,0.009546,0.335693
2860,0.6661,4.76,0.013654,0.190965,5.0633,0.000000,0.786667,0.390000,5.0633,5.0000,6.0000,-5.7907,28036.8514,0.059950,0.491943,0.011131,0.327637
2880,0.6717,4.80,0.013643,0.190889,5.1233,0.000000,0.793333,0.403333,5.1233,5.0000,6.0000,-5.6345,28836.8668,0.044698,0.450928,0.008992,0.329102
2900,0.6771,4.84,0.013632,0.190815,5.1400,0.000000,0.820000,0.403333,5.1400,5.0000,6.0000,-5.6131,29601.4084,0.037398,0.482422,0.004195,0.322510
2920,0.6823,4.87,0.013622,0.190745,5.1600,0.000000,0.816667,0.400000,5.1600,5.0000,6.0000,-5.5605,31324.9644,0.055609,0.471436,0.018574,0.347412
2940,0.6879,4.91,0.013611,0.190669,5.1567,0.000000,0.803333,0.436667,5.1567,5.0000,6.0000,-5.5813,30359.4692,0.045095,0.481201,0.005760,0.324951
2960,0.6934,4.95,0.013600,0.190595,5.0367,0.000000,0.760000,0.403333,5.0367,5.0000,6.0000,-5.9907,30016.0917,0.063952,0.498779,0.006618,0.325684
2980,0.6988,4.99,0.013589,0.190521,5.1967,0.000000,0.833333,0.426667,5.1967,5.0000,6.0000,-5.4702,32077.7238,0.048150,0.476807,0.007590,0.333008
3000,0.7043,5.03,0.013579,0.190447,5.1533,0.000000,0.816667,0.420000,5.1533,5.0000,6.0000,-5.5905,30477.7462,0.040201,0.483887,0.006688,0.322998
3020,0.7097,5.07,0.013568,0.190373,5.1000,0.000000,0.816667,0.393333,5.1000,5.0000,6.0000,-5.7786,30103.3567,0.044362,0.458008,0.008867,0.342773
3040,0.7151,5.11,0.013557,0.190299,5.1100,0.000000,0.803333,0.396667,5.1100,5.0000,6.0000,-5.7337,29530.2439,0.068057,0.452637,0.011707,0.355957
3060,0.7205,5.15,0.013547,0.190227,5.0300,0.000000,0.773333,0.353333,5.0300,5.0000,6.0000,-5.8297,25469.2512,0.041878,0.452393,0.008857,0.350098
